"","ID","year","narrowness"
"J39_L_20151024DAG_SJ1-1142_Processed","J39",2015,4.09497175938196
"J39_L_20151024DKE_SJ1-0982_processed","J39",2015,4.2506118345098
"J40_L_20051003DKE_DG1-194_processed","J40",2005,3.40380995925997
"J40_L_20051011KCB_DG1-148_processed","J40",2005,3.34604546292895
"J40_L_20090727DKE_DG1-230_Processed","J40",2009,4.20621999552338
"J40_L_20090911STJ_DG2-503_Processed","J40",2009,4.1253458249034
"J40_L_20151024DAG_SJ1-1146_Processed","J40",2015,4.3733328137038
"J41_L_20080401DKE_DG1-063_Processed","J41",2008,3.97187536620472
"J41_L_20101016DKE_SJ1-877_Processed","J41",2010,3.92073442816109
"J41_L_20130605BAB_SJ2-1075_Processed","J41",2013,4.24230115112812
"J41_L_20170507DAG_JF1-059_Processed","J41",2017,4.19700087295987
"J42_L_20070502DKE_DG1-063_processed","J42",2007,3.70963612404523
"J42_L_20080408DKE_DG1-054 (1)_Processed","J42",2008,3.23682708484251
"J42_L_20080408DKE_DG1-196_Processed","J42",2008,3.19276710096879
"J42_L_20080621KCB_DG3_137_processed","J42",2008,3.17140962781603
"J42_L_20080621KCB_DG3_154_Processed","J42",2008,3.29520604123387
"J42_L_20080827KCB_DG1-773_Processed","J42",2008,3.62933169169149
"J42_L_20080908AVG_DG1_130_Processed","J42",2008,3.23694151570315
"J42_L_20100606KCB_DG4-302_Processed","J42",2010,3.4512409234192
"J42_L_20120520KCB_JF1-160_Processed","J42",2012,3.74651782432511
"J42_L_20120917DKE_SJ1-003_processed","J42",2012,3.39270066015995
"J42_L_20130110DKE_JF5-096_processed","J42",2013,3.47787678100919
"J42_L_20150415DKE_SJ1-0845_processed","J42",2015,3.56348880577699
"J42_L_20150922DKE_SJ1-525_Processed","J42",2015,3.61879791379361
"J42_L_20151201KCB_SJ2-064_processed","J42",2015,4.13474687739028
"J42_L_20170513MLM_JF7-092_processed","J42",2017,3.68884095504317
"J43_L_20070907NWF-094_Processed","J43",2007,4.04995907817943
"J44_L_20090727DKE_DG1-242_Processed","J44",2009,3.52451146893155
"J44_L_20090905MMR_DG1-124_Processed","J44",2009,3.86312993746454
"J44_L_20100606KCB_DG4-217_Processed","J44",2010,3.9272268974896
"J44_L_20170513KCB_JF1-052_Processed","J44",2017,4.37943532836057
"J45_L_20090718EEH_DG1-190_processed","J45",2009,3.2182315112075
"J45_L_20090911AVG_DG2-180_Processed","J45",2009,3.57650516401376
"J45_L_20110928DKE_SJ1-582_Processed","J45",2011,3.32004222511997
"J45_L_20130530BAB_SJ1-335_processed","J45",2013,3.64588514210449
"J45_L_20130601DKE_SJ1-1213_Processed","J45",2013,3.52166903786685
"J45_L_20130601DKE_SJ1-1240_Processed","J45",2013,3.50329172150611
"J46_L_20091112JWD_DG1_142_processed","J46",2009,3.10758041773759
"J46_L_20100129DKE_DG4-220_Processed","J46",2010,2.91001794470568
"J46_L_20100129KCB_DG4-1653_processed","J46",2010,2.92660131998686
"J46_L_20120809EEH_SJ2-388_Processed","J46",2012,3.57614900179571
"J46_L_20141212KCB_JF1-0051_Processed","J46",2014,3.40740819022764
"J47_L_20141224MAP_SJ1-883_Processed","J47",2014,4.08788370489504
"J47_L_20160708KCB_JF1-0307_Processed","J47",2016,3.91512779498173
"J48_L_20111217CKE_PS7-0231_Processed","J48",2011,3.6409492593484
"J49_L_20120807BAB_GI1-044_Processed","J49",2012,3.49136645708182
"J49_L_20120807DKE_GI1-150_Processed","J49",2012,3.53490542405968
"J49_L_20120807SAM_GI1-113_Processed","J49",2012,3.58284259969818
"J49_L_20120822KCB_SJ2-030_Processed","J49",2012,3.38587876715863
"J49_L_20120822KCB_SJ2-044_processed","J49",2012,3.90298450802727
"J49_L_20120826DKE_SJ1-0070_Processed","J49",2012,3.52892946215279
"J49_L_20120826SAM_SJ1-1089_Processed","J49",2012,3.59785174643176
"J49_L_20130515DKE_JF1-624_Processed","J49",2013,3.09771065350382
"J49_L_20130528DKE_JF1-718_Processed","J49",2013,3.53424739755689
"J49_L_20130811JCH_SJ1-0187","J49",2013,2.99015937930779
"J49_L_20140603DKE_SJ1-0214_Processed","J49",2014,3.70231650514551
"J49_L_20150212DKE_SJ1-354_Processed","J49",2015,3.78161642067858
"J49_L_20150522BAB_GI1-0413_Processed","J49",2015,3.43224569308811
"J49_L_20150522DKE_GI1-405_Processed","J49",2015,3.58566063396841
"J49_L_20150522DKE_GI1-406_Processed","J49",2015,3.33491250646906
"J49_L_20150611BAB_SJ1-075_Processed","J49",2015,3.65286817389821
"J49_L_20150723SAM_SJ1-1120_Processed","J49",2015,3.69184899275677
"J49_L_20151201DAG_SJ1-0244_Processed","J49",2015,3.87180906534541
"J49_L_20151201DKE_SJ1-467_Processed","J49",2015,3.83314669203189
"J49_L_20160417KCB_GI2-070_Processed","J49",2016,3.7533095259902
"J49_L_20161221DKE_SJ1-502_Processed","J49",2016,3.54635427379129
"J50_L_20150107JMC_GS7-277_Processed","J50",2015,3.55054498378213
"J50_L_20150119DKE_SJ1-630 (2)_Processed","J50",2015,3.33927916614195
"J50_L_20150621DKE_SJ2-529_Processed","J50",2015,3.65715025072852
"J50_L_20150806DKE_SJ1-0829_Processed","J50",2015,3.72098659980761
"J50_L_20150922DKE_SJ1-548_Processed","J50",2015,3.22039167946057
"J50_L_20150922EEH_SJ1-216_Processed","J50",2015,3.46073263907704
"J50_L_20160225DKE_SJ1-398_Processed","J50",2016,3.44755584593219
"J50_L_20160225DKE_SJ1-399_Processed","J50",2016,3.55884463361407
