"","ID","year","narrowness"
"J44_R_20090909KCB_DG1-326_Processed","J44",2009,2.45875722767221
"J44_R_20090909KCB_DG1-454_Processed","J44",2009,2.77890168610349
"J44_R_20090909KCB_DG1-455_Processed","J44",2009,2.73568866478563
"J44_R_20100129DKE_DG4-105_processed","J44",2010,2.66788496834287
"J44_R_20120408DKE_GI1-1081_Processed","J44",2012,3.05988756328195
"J44_R_20120408KCB_GI1-553_processed","J44",2012,3.11077458403234
"J44_R_20120614DKE_SJ1-152_Processed","J44",2012,3.04278247119874
"J44_R_20150705DKE_SJ1-1085_Processed","J44",2015,2.99994418532977
"J44_R_20180724DKE_SJ1-0018_processed","J44",2018,2.70502647737738
"J44_R_20180724DKE_SJ1-1010_processed","J44",2018,2.79232096721671
"J45_R_20090515EEH_DG1-226_Processed","J45",2009,2.89015702879186
"J45_R_20110402DLS_SJ1-143_Processed","J45",2011,3.15695677637617
"J45_R_20110515DKE_GI1-340_Processed","J45",2011,2.91954966079165
"J45_R_20130515BAB_JF1-018_Processed","J45",2013,3.14889325285158
"J45_R_20130528DKE_JF1-643_Processed","J45",2013,3.03764939601233
"J46_R_20100604DKE_DG2-262_Processed","J46",2010,2.72329951642976
"J46_R_20100606KCB_DG4-153_Processed","J46",2010,2.84308694628143
"J46_R_20100705EAF_SJ1-047_Processed","J46",2010,2.93376592083508
"J46_R_20100726EAF_SJ1-355_Processed","J46",2010,2.93759804823782
"J46_R_20100921EEH_SJ1-381_processed","J46",2010,2.95694929658708
"J46_R_20110826KCB_SJ2-149_Processed","J46",2011,2.96397424985398
"J46_R_20130601DKE_SJ1-0921_Processed","J46",2013,3.02820927868479
"J46_R_20141224DKE_SJ1-447_Processed - Copy","J46",2014,3.15457702087173
"J46_R_20141224DKE_SJ1-447_Processed","J46",2014,3.15457702087173
"J46_R_20160731KCB_SJ1-117_Processed","J46",2016,2.84469859719447
"J46_R_20180608JOF_WV7-006_Processed","J46",2018,3.08617489728509
"J47_R_20100129DKE_DG4-079_Processed","J47",2010,2.91493812311136
"J47_R_20100129DKE_DG4-092_Processed","J47",2010,2.81288806680162
"J47_R_20100129DKE_DG4-097_Processed","J47",2010,2.83204147679501
