id,yob,yod,mother,sex,father
L8,1957,1976,NA,1,NA
L80,1990,1993,L27,2,NA
L81,1990,1997,L60,1,NA
L82,1990,NA,L55,0,*1
L83,1990,NA,L47,0,*1
L84,1990,2019,L51,1,*7
L85,1991,NA,L28,1,*7
L86,1991,NA,L4,0,*17
L87,1992,NA,L32,1,*17
L88,1993,NA,L2,1,*17
L89,1993,NA,L22,1,*7
L9,1931,1996,NA,0,NA
L90,1993,NA,L26,0,*17
L91,1995,NA,L47,0,NA
L92,1995,2017,L60,1,*1
L93,1995,1998,L27,0,NA
L94,1995,NA,L11,0,*7
L95,1996,2016,L43,1,L41
L96,1996,1997,L55,1,NA
L97,1999,1999,L51,2,NA
L98,1999,2006,L67,1,*17
L99,2000,2000,L47,2,NA
L124,2019,NA,L77,2,NA
J56,2019,NA,J31,0,NA
J57,2020,NA,J35,1,NA
J58,2020,NA,J41,0,NA
L125,2021,NA,L86,0,NA
J59,2022,NA,J37,2,NA
